,,,,,,,,,,,MacNeil et al. ,,In review paper from Ivor,Ivor most recent,,,,,,,,,
spp,SPECIES,FAMILY,family,COMMONFAMILYALL,TROPHIC_MONREP,A2_guild,TOPHIC_MONREP,size,habitat,Included,fg,EDITED,A2_fg,Ivor_F1,Ivor_F2,A2_size,A2_schooling,Ivor_guild,criteria,,,,
Cirrhilabrus marjorie,NA,NA,Labridae,NA,NA,NA,NA,5.8,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Cirrhilabrus scottorum,NA,NA,Labridae,NA,NA,NA,NA,13,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Cirripectes alboapicalis,NA,NA,Blenniidae,NA,NA,NA,NA,15.5,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Cirripectes castaneus,NA,NA,Blenniidae,NA,NA,NA,NA,9.2,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Cirripectes filamentosus,NA,NA,Blenniidae,NA,NA,NA,NA,7.5,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Clepticus parrae,NA,NA,Labridae,NA,NA,NA,NA,30,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Conger cinereus,NA,NA,Congridae,NA,NA,NA,NA,140,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Coradion chrysozonus,NA,NA,Chaetodontidae,NA,NA,NA,NA,15,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Coris batuensis,NA,NA,Labridae,NA,NA,NA,NA,17,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Coris caudimacula,NA,NA,Labridae,NA,NA,NA,NA,20,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Coris debueni,NA,NA,Labridae,NA,NA,NA,NA,27,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Coris formosa,NA,NA,Labridae,NA,NA,NA,NA,60,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Coris roseoviridis,NA,NA,Labridae,NA,NA,NA,NA,19.8,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Coryphopterus dicrus,NA,NA,Gobiidae,NA,NA,NA,NA,5,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Coryphopterus eidolon,NA,NA,Gobiidae,NA,NA,NA,NA,6,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Coryphopterus glaucofraenum,NA,NA,Gobiidae,NA,NA,NA,NA,8,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Coryphopterus hyalinus,NA,NA,Gobiidae,NA,NA,NA,NA,2.5,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Coryphopterus lipernes,NA,NA,Gobiidae,NA,NA,NA,NA,3,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Coryphopterus sp,NA,NA,Gobiidae,NA,NA,NA,NA,7,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Coryphopterus sp,NA,NA,Gobiidae,NA,NA,NA,NA,7,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Cromileptes altivelis,NA,NA,Serranidae,NA,NA,NA,NA,70,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Cryptocentrus cryptocentrus,NA,NA,Gobiidae,NA,NA,NA,NA,13,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Ctenochaetus tominiensis,NA,NA,Acanthuridae,NA,NA,NA,NA,16,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Ctenochaetus truncatus,NA,NA,Acanthuridae,NA,NA,NA,NA,16,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Ctenogobiops sp,NA,NA,Acanthuridae,NA,NA,NA,NA,17,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Ctenogobiops tangaroai,NA,NA,Gobiidae,NA,NA,NA,NA,6,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Ctenogobius saepepallens,NA,NA,Gobiidae,NA,NA,NA,NA,5,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Dactyloptena orientalis,NA,NA,Dactylopteridae,NA,NA,NA,NA,40,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Dascyllus carneus,NA,NA,Pomacentridae,NA,NA,NA,NA,7,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Dascyllus flavicaudus,NA,NA,Pomacentridae,NA,NA,NA,NA,12,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Dasyatis americanus,NA,NA,Dasyatidae,NA,NA,NA,NA,67,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Dermatolepis striolata,NA,NA,Serranidae,NA,NA,NA,NA,85,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Diagramma picta,NA,NA,Haemulidae,NA,NA,NA,NA,100,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Diagramma pictum,NA,NA,Haemulidae,NA,NA,NA,NA,100,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Dischistodus melanotus,NA,NA,Pomacentridae,NA,NA,NA,NA,16,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Dischistodus perspicillatus,NA,NA,Pomacentridae,NA,NA,NA,NA,18,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Dischistodus prosopotaenia,NA,NA,Pomacentridae,NA,NA,NA,NA,18.5,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Dischistodus pseudochrysopoecilus,NA,NA,Pomacentridae,NA,NA,NA,NA,18,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Echeneis neucratoides,NA,NA,Echeneidae,NA,NA,NA,NA,75,Pelagic,0,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
Echeneis neucratoides,NA,NA,Echeneidae,NA,NA,NA,NA,75,Pelagic,0,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
Echidna catenata,NA,NA,Muraenidae,NA,NA,NA,NA,165,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Ecsenius lineatus,NA,NA,Blenniidae,NA,NA,NA,NA,9,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Ecsenius nalolo,NA,NA,Blenniidae,NA,NA,NA,NA,6.5,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus chancei,NA,NA,Gobiidae,NA,NA,NA,NA,5,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus chancei,NA,NA,Gobiidae,NA,NA,NA,NA,5,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus chancei,NA,NA,Gobiidae,NA,NA,NA,NA,5,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus dilepis,NA,NA,Gobiidae,NA,NA,NA,NA,2.5,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus dilepis,NA,NA,Gobiidae,NA,NA,NA,NA,2.5,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus dilepis,NA,NA,Gobiidae,NA,NA,NA,NA,2.5,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus evelynae,NA,NA,Gobiidae,NA,NA,NA,NA,4,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus evelynae,NA,NA,Gobiidae,NA,NA,NA,NA,4,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus evelynae,NA,NA,Gobiidae,NA,NA,NA,NA,4,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus horsti,NA,NA,Gobiidae,NA,NA,NA,NA,5,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus horsti,NA,NA,Gobiidae,NA,NA,NA,NA,5,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus horsti,NA,NA,Gobiidae,NA,NA,NA,NA,5,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus lousiae,NA,NA,Gobiidae,NA,NA,NA,NA,3,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus lousiae,NA,NA,Gobiidae,NA,NA,NA,NA,3,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus lousiae,NA,NA,Gobiidae,NA,NA,NA,NA,3,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus oceanops,NA,NA,Gobiidae,NA,NA,NA,NA,5,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus oceanops,NA,NA,Gobiidae,NA,NA,NA,NA,5,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus oceanops,NA,NA,Gobiidae,NA,NA,NA,NA,5,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus prochilos,NA,NA,Gobiidae,NA,NA,NA,NA,4,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus prochilos,NA,NA,Gobiidae,NA,NA,NA,NA,4,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus prochilos,NA,NA,Gobiidae,NA,NA,NA,NA,4,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus randalli,NA,NA,Gobiidae,NA,NA,NA,NA,4.6,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus randalli,NA,NA,Gobiidae,NA,NA,NA,NA,4.6,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus randalli,NA,NA,Gobiidae,NA,NA,NA,NA,4.6,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus sp,NA,NA,Gobiidae,NA,NA,NA,NA,3,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus sp.,NA,NA,Gobiidae,NA,NA,NA,NA,3,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus sp.,NA,NA,Gobiidae,NA,NA,NA,NA,3,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus xanthiprora,NA,NA,Gobiidae,NA,NA,NA,NA,4,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus xanthiprora,NA,NA,Gobiidae,NA,NA,NA,NA,4,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Elacatinus xanthiprora,NA,NA,Gobiidae,NA,NA,NA,NA,4,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Emblemaria pandionis,NA,NA,Chaenopsidae,NA,NA,NA,NA,5,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Emblemariopsis signifer,NA,NA,Chaenopsidae,NA,NA,NA,NA,3,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Emblemariopsis sp,NA,NA,Chaenopsidae,NA,NA,NA,NA,3,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Emblemariopsis sp,NA,NA,Chaenopsidae,NA,NA,NA,NA,3,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Enchelycore carychroa,NA,NA,Muraenidae,NA,NA,NA,NA,34,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Enchelycore nigricans,NA,NA,Muraenidae,NA,NA,NA,NA,100,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Enchelycore ramosus,NA,NA,Muraenidae,NA,NA,NA,NA,180,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Enneanectes boehlkei,NA,NA,Tripterygiidae,NA,NA,NA,NA,4,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Enneanectes pectoralis,NA,NA,Tripterygiidae,NA,NA,NA,NA,4,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Enneapterygius atriceps,NA,NA,Tripterygiidae,NA,NA,NA,NA,2.6,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Enneapterygius tutuilae,NA,NA,Tripterygiidae,NA,NA,NA,NA,4,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Entomacrodus chapmani,NA,NA,Blenniidae,NA,NA,NA,NA,3.9,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Entomacrodus marmoratus,NA,NA,Blenniidae,NA,NA,NA,NA,4,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Epinephelus areolatus,NA,NA,Epinephilidae,NA,NA,NA,NA,47,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Epinephelus caeruleopunctatus,NA,NA,Epinephilidae,NA,NA,NA,NA,76,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Epinephelus coeruleopunctatus,NA,NA,Serranidae,NA,NA,NA,NA,76,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Epinephelus cyanopodus,NA,NA,Epinephilidae,NA,NA,NA,NA,122,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Epinephelus fuscoguttatus,NA,NA,Serranidae,NA,NA,NA,NA,120,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Epinephelus guttatus,NA,NA,Serranidae,NA,NA,NA,NA,76,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Epinephelus malabaricus,NA,NA,Epinephilidae,NA,NA,NA,NA,234,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Epinephelus multinotatus,NA,NA,Serranidae,NA,NA,NA,NA,100,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Epinephelus ongus,NA,NA,Epinephilidae,NA,NA,NA,NA,40,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Epinephelus striatus,NA,NA,Serranidae,NA,NA,NA,NA,122,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Epinephelus tukula,NA,NA,Serranidae,NA,NA,NA,NA,200,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Equetus punctatus,NA,NA,Sciaenidae,NA,NA,NA,NA,27,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Eviota albolineata,NA,NA,Gobiidae,NA,NA,NA,NA,3,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Eviota guttata,NA,NA,Gobiidae,NA,NA,NA,NA,2.5,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Exyrias sp,NA,NA,Gobiidae,NA,NA,NA,NA,3,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Fistualaria tabacaria,NA,NA,Fistulariidae,NA,NA,NA,NA,200,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Foa brachygramma,NA,NA,Apogonidae,NA,NA,NA,Planktivore,6.4,Reef,1,Planktivore,,NA,PK,PK,NA,NA,Pk,0,,,,
Fusigobius neophytus,NA,NA,Gobiidae,NA,NA,NA,NA,7.5,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Gerres cinereus,NA,NA,Gerreidae,NA,NA,NA,NA,41,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Ginglymostoma cirratum,NA,NA,Rhincodontidae,NA,NA,NA,NA,430,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Gnathanodon speciosus,NA,NA,Carangidae,NA,NA,NA,NA,120,Pelagic,0,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Gnathodentex sp,NA,NA,Lethrinidae,NA,NA,NA,NA,30,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Gnathodentex sp,NA,NA,Lethrinidae,NA,NA,NA,NA,30,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Gnatholepis anjerensis,NA,NA,Gobiidae,NA,NA,NA,NA,8.4,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Gnatholepis australis,NA,NA,Gobiidae,NA,NA,NA,NA,7,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Gnatholepis cauerensis,NA,NA,Gobiidae,NA,NA,NA,NA,8,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Gnatholepis pascuensis,NA,NA,Gobiidae,NA,NA,NA,NA,6,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Gnatholepis sp,NA,NA,Gobiidae,NA,NA,NA,NA,6,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Gnatholepis thompsoni,NA,NA,Gobiidae,NA,NA,NA,NA,8.2,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Gobiidae sp,NA,NA,Gobiidae,NA,NA,NA,NA,7,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Gobiidae sp,NA,NA,Gobiidae,NA,NA,NA,NA,6,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Gomphosus caeruleus,NA,NA,Labridae,NA,NA,NA,NA,32,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Gramma loreto,NA,NA,Grammatidae,NA,NA,NA,NA,8,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Gramma melacara,NA,NA,Grammatidae,NA,NA,NA,NA,10,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Gymnocranius euanus,NA,NA,Lethrinidae,NA,NA,NA,NA,45,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Gymnocranius microdon,NA,NA,Lethrinidae,NA,NA,NA,NA,45,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Gymnothorax funebris,NA,NA,Muraenidae,NA,NA,NA,NA,250,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Gymnothorax miliaris,NA,NA,Muraenidae,NA,NA,NA,NA,70,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Gymnothorax moringa,NA,NA,Muraenidae,NA,NA,NA,NA,200,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Gymnothorax nudivomer,NA,NA,Muraenidae,NA,NA,NA,NA,180,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Gymnothorax porphyreus,NA,NA,Muraenidae,NA,NA,NA,NA,34.6,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Gymnothorax vicinus,NA,NA,Muraenidae,NA,NA,NA,NA,122,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Haemulon album,NA,NA,Haemulidae,NA,NA,NA,NA,79,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Haemulon aurolineatum,NA,NA,Haemulidae,NA,NA,NA,NA,25,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Haemulon carbonarium,NA,NA,Haemulidae,NA,NA,NA,NA,36,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Haemulon chrysargyreum,NA,NA,Haemulidae,NA,NA,NA,NA,23,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Haemulon flavolineatum,NA,NA,Haemulidae,NA,NA,NA,NA,30,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Haemulon macrostomum,NA,NA,Haemulidae,NA,NA,NA,NA,43,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Haemulon macrostomum,NA,NA,Haemulidae,NA,NA,NA,NA,33,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Haemulon parra,NA,NA,Haemulidae,NA,NA,NA,NA,41.2,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Haemulon plumieri,NA,NA,Haemulidae,NA,NA,NA,NA,25,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Haemulon sciurus,NA,NA,Haemulidae,NA,NA,NA,NA,46,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Haemulon striatum,NA,NA,Haemulidae,NA,NA,NA,NA,28,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Haemulon vittatum,NA,NA,Inermiidae,NA,NA,NA,NA,23,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Halichoeres bivitattus,NA,NA,Labridae,NA,NA,NA,NA,35,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Halichoeres bivitattus,NA,NA,Labridae,NA,NA,NA,NA,35,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Halichoeres cosmetus,NA,NA,Labridae,NA,NA,NA,NA,13,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Halichoeres cyanocephalus,NA,NA,Labridae,NA,NA,NA,NA,30,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Halichoeres garnoti,NA,NA,Labridae,NA,NA,NA,NA,19.3,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Halichoeres iridis,NA,NA,Labridae,NA,NA,NA,NA,11.5,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Halichoeres maculipinna,NA,NA,Labridae,NA,NA,NA,NA,18,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Halichoeres nebulosus,NA,NA,Labridae,NA,NA,NA,NA,12,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Halichoeres pallidus,NA,NA,Labridae,NA,NA,NA,NA,10,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Halichoeres pictus,NA,NA,Labridae,NA,NA,NA,NA,13,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Halichoeres poeyi,NA,NA,Labridae,NA,NA,NA,NA,20,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Halichoeres radiatus,NA,NA,Labridae,NA,NA,NA,NA,51,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Halichoeres richmondi,NA,NA,Labridae,NA,NA,NA,NA,19,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Halichoeres scapularis,NA,NA,Labridae,NA,NA,NA,NA,20,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Halichoeres vrolikii,NA,NA,Labridae,NA,NA,NA,NA,13,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Hazeus nephodes,NA,NA,Gobiidae,NA,NA,NA,NA,5,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Helcogramma striatum,NA,NA,Tripterygiidae,NA,NA,NA,NA,4.3,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Hemitaurichthys zoster,NA,NA,Chaetodontidae,NA,NA,NA,NA,18,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Heniochus pleurotaenia,NA,NA,Chaetodontidae,NA,NA,NA,NA,17,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Heniochus sp,NA,NA,Chaetodontidae,NA,NA,NA,NA,25,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Heniochus sp,NA,NA,Chaetodontidae,NA,NA,NA,NA,25,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Heteroconger longissimus,NA,NA,Congridae,NA,NA,NA,NA,51,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Hippocampus erectus,NA,NA,Sygnathidae,NA,NA,NA,NA,19,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Hipposcarus harid,NA,NA,Scaridae,NA,NA,NA,NA,75,Reef,1,Excavator/scraper,,NA,NA,NA,NA,NA,NA,NA,,,,
Holacanthus ciliaris,NA,NA,Pomacanthidae,NA,NA,NA,NA,45,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Holacanthus tricolor,NA,NA,Pomacanthidae,NA,NA,NA,NA,35,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Holocentrus adscensionis,NA,NA,Holocentridae,NA,NA,NA,NA,61,Nocturnal,0,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Holocentrus rufus,NA,NA,Holocentridae,NA,NA,NA,NA,35,Nocturnal,0,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Hypleurochilus caudovittatus,NA,NA,Gobiidae,NA,NA,NA,NA,6,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Hypoplectrus chlorurus,NA,NA,Serranidae,NA,NA,NA,NA,12.7,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Hypoplectrus guttavarius,NA,NA,Serranidae,NA,NA,NA,NA,13,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Hypoplectrus indigo,NA,NA,Serranidae,NA,NA,NA,NA,14.3,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Hypoplectrus nigricans,NA,NA,Serranidae,NA,NA,NA,NA,15.2,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Hypoplectrus puella,NA,NA,Serranidae,NA,NA,NA,NA,15.2,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Hypoplectrus sp,NA,NA,Serranidae,NA,NA,NA,NA,14,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Hypoplectrus sp,NA,NA,Serranidae,NA,NA,NA,NA,14,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Hypoplectrus unicolor,NA,NA,Serranidae,NA,NA,NA,NA,12.7,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
